id входа;id;депозит после цикла;Время;порядковый номер шага;результат;начальная ставка
77;94;42,3300;25 21:40;18;стоп;0,40
609;621;42,8740;26 00:43;13;выигрыш;0,40
998;998;48,2180;26 02:56;1;выигрыш;0,40
1042;1059;40,5480;26 03:15;18;стоп;0,40
1382;1388;43,4920;26 05:04;7;выигрыш;0,40
1620;1627;46,0360;26 06:23;8;выигрыш;0,40
1914;1915;50,9800;26 08:06;2;выигрыш;0,40
2012;2029;43,3100;26 08:45;18;стоп;0,40
2328;2343;43,7764;26 10:29;16;выигрыш;0,40
2787;2792;47,1204;26 13:13;6;выигрыш;0,40
2855;2866;48,0644;26 13:37;12;выигрыш;0,40
3706;3707;53,0084;26 18:52;2;выигрыш;0,40
4308;4308;58,3524;26 22:49;1;выигрыш;0,40
4389;4399;59,6964;26 23:22;11;выигрыш;0,40
4687;4687;65,0404;27 01:05;1;выигрыш;0,40
4779;4796;57,3704;27 01:38;18;стоп;0,40
4878;4895;49,7004;27 02:12;18;стоп;0,40
4997;5002;53,0444;27 02:48;6;выигрыш;0,40
5073;5084;53,9884;27 03:16;12;выигрыш;0,40
5188;5196;56,1324;27 03:55;9;выигрыш;0,40
5246;5247;61,0764;27 04:11;2;выигрыш;0,40
5602;5614;61,6204;27 06:18;13;выигрыш;0,40
5868;5875;64,1644;27 07:55;8;выигрыш;0,40
6055;6056;69,1084;27 09:05;2;выигрыш;0,40
6167;6167;74,4524;27 09:42;1;выигрыш;0,40
6284;6301;66,7824;27 10:29;18;стоп;0,40
6543;6556;67,1936;27 12:01;14;выигрыш;0,40
6814;6831;59,5236;27 13:38;18;стоп;0,40
7276;7279;63,6676;27 16:22;4;выигрыш;0,40
7913;7922;65,4116;27 20:09;10;выигрыш;0,40
8504;8521;57,7416;27 23:42;18;стоп;0,40
8640;8657;58,2568;28 00:30;18;выигрыш;0,40
8743;8745;62,8008;28 00:58;3;выигрыш;0,40
9083;9086;66,9448;28 02:56;4;выигрыш;0,40
9143;9146;71,0888;28 03:14;4;выигрыш;0,40
9248;9251;75,2328;28 03:51;4;выигрыш;0,40
9444;9460;75,7436;28 05:01;17;выигрыш;0,40
9511;9511;81,0876;28 05:19;1;выигрыш;0,40
9948;9952;84,8316;28 07:51;5;выигрыш;0,40
10319;10336;77,1616;28 10:04;18;стоп;0,40
10481;10497;77,6724;28 10:59;17;выигрыш;0,40
10762;10763;82,6164;28 12:29;2;выигрыш;0,40
10901;10902;87,5604;28 13:18;2;выигрыш;0,40
11011;11020;89,3044;28 13:58;10;выигрыш;0,40
11328;11330;93,8484;28 15:48;3;выигрыш;0,40
11447;11456;95,5924;28 16:33;10;выигрыш;0,40
11764;11774;96,9364;28 18:31;11;выигрыш;0,40
11823;11829;99,8804;28 18:51;7;выигрыш;0,40
12221;12222;104,8244;28 21:06;2;выигрыш;0,40
12297;12308;105,7684;28 21:33;12;выигрыш;0,40
12825;12842;98,0984;29 00:34;18;стоп;0,40
13403;13405;102,6424;29 03:37;3;выигрыш;0,40
13565;13570;105,9864;29 04:35;6;выигрыш;0,40
13898;13902;109,7304;29 06:36;5;выигрыш;0,40
14504;14511;112,2744;29 10:06;8;выигрыш;0,40
14726;14732;115,2184;29 11:22;7;выигрыш;0,40
15911;15911;120,5624;29 18:29;1;выигрыш;0,40
15959;15963;124,3064;29 18:47;5;выигрыш;0,40
16068;16076;126,4504;29 19:30;9;выигрыш;0,40
16156;16159;130,5944;29 20:00;4;выигрыш;0,40
16510;16513;134,7384;29 22:01;4;выигрыш;0,40
16750;16767;127,0684;29 23:29;18;стоп;0,40
17099;17102;131,2124;30 01:24;4;выигрыш;0,40
17301;17303;135,7564;30 02:34;3;выигрыш;0,40
17575;17579;139,5004;30 04:17;5;выигрыш;0,40
17747;17747;144,8444;30 05:12;1;выигрыш;0,40
18522;18524;149,3884;30 09:45;3;выигрыш;0,40
18821;18826;152,7324;30 11:32;6;выигрыш;0,40
19650;19663;153,1436;30 16:35;14;выигрыш;0,40
19736;19753;145,4736;30 17:05;18;стоп;0,40
19932;19943;146,4176;30 18:15;12;выигрыш;0,40
19987;19999;146,9616;30 18:36;13;выигрыш;0,40
20608;20610;151,5056;30 22:19;3;выигрыш;0,40
21386;21401;151,9720;31 02:49;16;выигрыш;0,40
21537;21549;152,5160;31 03:36;13;выигрыш;0,40
21666;21670;156,2600;31 04:16;5;выигрыш;0,40
21965;21969;160,0040;31 06:07;5;выигрыш;0,40
22031;22048;160,5192;31 06:35;18;выигрыш;0,40
22151;22151;165,8632;31 07:16;1;выигрыш;0,40
22501;22518;158,1932;31 09:27;18;стоп;0,40
22572;22573;163,1372;31 09:47;2;выигрыш;0,40
22659;22665;166,0812;31 10:21;7;выигрыш;0,40
22779;22796;158,4112;31 11:07;18;стоп;0,40
22964;22981;150,7412;31 12:14;18;стоп;0,40
23034;23049;151,2076;31 12:37;16;выигрыш;0,40
23296;23313;143,5376;31 14:09;18;стоп;0,40
23445;23462;135,8676;31 15:00;18;стоп;0,40
23798;23804;138,8116;31 16:59;7;выигрыш;0,40
23917;23923;141,7556;31 17:42;7;выигрыш;0,40
24094;24111;142,2708;31 18:45;18;выигрыш;0,40
24174;24187;142,6820;31 19:12;14;выигрыш;0,40
24360;24371;143,6260;31 20:22;12;выигрыш;0,40
24428;24445;135,9560;31 20:50;18;стоп;0,40
24687;24696;137,7000;31 22:16;10;выигрыш;0,40
25305;25313;139,8440;1 01:53;9;выигрыш;0,40
25509;25516;142,3880;1 03:00;8;выигрыш;0,40
25574;25583;144,1320;1 03:23;10;выигрыш;0,40
25716;25718;148,6760;1 04:07;3;выигрыш;0,40
25784;25801;141,0060;1 04:33;18;стоп;0,40
26051;26053;145,5500;1 05:59;3;выигрыш;0,40
26106;26106;150,8940;1 06:19;1;выигрыш;0,40
26396;26413;143,2240;1 08:03;18;стоп;0,40
26870;26887;135,5540;1 10:53;18;стоп;0,40
27071;27085;136,0796;1 12:06;15;выигрыш;0,40
28135;28136;141,0236;1 18:32;2;выигрыш;0,40
28423;28425;145,5676;1 20:15;3;выигрыш;0,40
28600;28609;147,3116;1 21:21;10;выигрыш;0,40
29396;29396;152,6556;2 01:54;1;выигрыш;0,40
29457;29458;157,5996;2 02:15;2;выигрыш;0,40
29886;29894;159,7436;2 04:47;9;выигрыш;0,40
30260;30265;163,0876;2 06:56;6;выигрыш;0,40
30481;30484;167,2316;2 08:13;4;выигрыш;0,40
