id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
31;31;0,20;24,7920;25 21:19;1;выигрыш
51;61;0,20;24,9920;25 21:28;11;выигрыш
249;249;0,20;25,7840;25 22:32;1;выигрыш
398;406;0,21;26,0072;25 23:27;9;выигрыш
706;719;0,21;26,2444;26 01:17;14;выигрыш
1114;1116;0,21;26,6560;26 03:32;3;выигрыш
1418;1421;0,22;26,9068;26 05:16;4;выигрыш
1550;1564;0,22;27,1284;26 06:01;15;выигрыш
1600;1600;0,22;27,9996;26 06:14;1;выигрыш
1625;1627;0,23;28,4504;26 06:23;3;выигрыш
1724;1726;0,23;28,9012;26 06:57;3;выигрыш
1763;1763;0,24;29,8516;26 07:08;1;выигрыш
2097;2098;0,24;30,5620;26 09:10;2;выигрыш
2276;2280;0,25;30,8192;26 10:07;5;выигрыш
2629;2633;0,25;31,0764;26 12:12;5;выигрыш
2760;2760;0,25;32,0664;26 13:01;1;выигрыш
3172;3174;0,26;32,5760;26 15:27;3;выигрыш
3219;3223;0,27;32,8720;26 15:45;5;выигрыш
3298;3298;0,27;33,9412;26 16:13;1;выигрыш
3586;3600;0,28;34,2244;26 18:09;15;выигрыш
3945;3946;0,28;35,0532;26 20:29;2;выигрыш
4020;4020;0,29;36,2016;26 20:59;1;выигрыш
4154;4155;0,30;37,0896;26 21:57;2;выигрыш
4384;4390;0,30;37,4252;26 23:19;7;выигрыш
4636;4641;0,31;37,7552;27 00:50;6;выигрыш
4682;4687;0,31;38,0852;27 01:05;6;выигрыш
4754;4755;0,31;39,0028;27 01:27;2;выигрыш
4772;4789;0,32;39,3348;27 01:38;18;выигрыш
5579;5591;0,32;39,6848;27 06:09;13;выигрыш
5907;5909;0,33;40,3316;27 08:04;3;выигрыш
6109;6110;0,33;41,3084;27 09:23;2;выигрыш
6140;6144;0,34;41,6808;27 09:35;5;выигрыш
6285;6289;0,34;42,0532;27 10:26;5;выигрыш
6340;6345;0,35;42,4108;27 10:42;6;выигрыш
6490;6491;0,35;43,4468;27 11:37;2;выигрыш
6638;6641;0,36;43,8320;27 12:31;4;выигрыш
6770;6770;0,36;45,2576;27 13:20;1;выигрыш
6787;6787;0,37;46,7228;27 13:26;1;выигрыш
6825;6829;0,38;47,1332;27 13:38;5;выигрыш
6925;6934;0,39;47,5316;27 14:14;10;выигрыш
7008;7011;0,39;47,9456;27 14:42;4;выигрыш
7408;7414;0,39;48,3740;27 17:07;7;выигрыш
7460;7472;0,40;48,8100;27 17:25;13;выигрыш
7509;7510;0,40;49,9940;27 17:38;2;выигрыш
7628;7629;0,41;51,2076;27 18:23;2;выигрыш
7845;7846;0,42;52,4508;27 19:45;2;выигрыш
7917;7922;0,43;52,9032;27 20:09;6;выигрыш
7962;7962;0,44;54,6456;27 20:21;1;выигрыш
8057;8059;0,45;55,5276;27 20:55;3;выигрыш
8406;8420;0,46;56,0036;27 23:08;15;выигрыш
8745;8745;0,46;57,8252;28 00:58;1;выигрыш
9069;9078;0,48;58,3296;28 02:53;10;выигрыш
9241;9244;0,48;58,8300;28 03:48;4;выигрыш
9448;9460;0,49;59,3580;28 05:01;13;выигрыш
9662;9670;0,49;59,8564;28 06:13;9;выигрыш
9794;9798;0,49;60,3812;28 06:56;5;выигрыш
9877;9878;0,50;61,8612;28 07:26;2;выигрыш
10082;10082;0,51;63,8808;28 08:37;1;выигрыш
10237;10249;0,53;64,4464;28 09:35;13;выигрыш
10306;10308;0,53;65,4852;28 09:55;3;выигрыш
10339;10341;0,54;66,5436;28 10:04;3;выигрыш
10410;10413;0,55;67,1112;28 10:29;4;выигрыш
10534;10534;0,55;69,2892;28 11:13;1;выигрыш
10752;10752;0,57;71,5464;28 12:25;1;выигрыш
10888;10890;0,59;72,7028;28 13:13;3;выигрыш
11117;11122;0,60;73,3244;28 14:32;6;выигрыш
11996;11996;0,61;75,7400;28 19:52;1;выигрыш
12122;12135;0,63;76,4064;28 20:37;14;выигрыш
12239;12240;0,63;78,2712;28 21:12;2;выигрыш
12284;12287;0,65;78,9348;28 21:27;4;выигрыш
12308;12308;0,65;81,5088;28 21:33;1;выигрыш
12404;12405;0,67;83,4920;28 22:05;2;выигрыш
12430;12431;0,69;85,5344;28 22:14;2;выигрыш
12499;12508;0,71;86,2828;28 22:38;10;выигрыш
12533;12536;0,71;87,0040;28 22:47;4;выигрыш
12666;12668;0,72;88,4152;28 23:33;3;выигрыш
12801;12814;0,73;89,1828;29 00:25;14;выигрыш
12857;12861;0,74;89,9352;29 00:39;5;выигрыш
12961;12961;0,74;92,8656;29 01:09;1;выигрыш
13052;13058;0,77;93,6640;29 01:41;7;выигрыш
13510;13514;0,78;94,4544;29 04:16;5;выигрыш
13931;13931;0,78;97,5432;29 06:46;1;выигрыш
14002;14002;0,81;100,7508;29 07:10;1;выигрыш
14024;14024;0,83;104,0376;29 07:19;1;выигрыш
14279;14281;0,86;105,7232;29 08:44;3;выигрыш
14477;14484;0,88;106,6352;29 09:54;8;выигрыш
14580;14585;0,88;107,5292;29 10:30;6;выигрыш
14858;14865;0,89;108,4204;29 12:05;8;выигрыш
15151;15153;0,90;110,1844;29 13:50;3;выигрыш
15334;15337;0,91;111,0976;29 14:55;4;выигрыш
15414;15415;0,92;113,8208;29 15:27;2;выигрыш
15559;15566;0,94;114,7672;29 16:22;8;выигрыш
15673;15680;0,95;115,7324;29 17:04;8;выигрыш
15701;15701;0,96;119,5340;29 17:10;1;выигрыш
15767;15771;0,99;120,5536;29 17:34;5;выигрыш
15790;15790;1,00;124,5136;29 17:41;1;выигрыш
15908;15911;1,03;125,5816;29 18:29;4;выигрыш
15950;15951;1,04;128,6600;29 18:44;2;выигрыш
16151;16151;1,07;132,8972;29 19:57;1;выигрыш
16227;16227;1,10;137,2532;29 20:23;1;выигрыш
16449;16450;1,14;140,6276;29 21:40;2;выигрыш
16483;16485;1,17;142,9208;29 21:52;3;выигрыш
16502;16504;1,19;145,2532;29 21:58;3;выигрыш
16540;16541;1,21;148,8348;29 22:10;2;выигрыш
16738;16738;1,24;153,7452;29 23:20;1;выигрыш
16988;16999;1,28;155,0504;30 00:49;12;выигрыш
17133;17140;1,29;156,3616;30 01:36;8;выигрыш
17216;17216;1,30;161,5096;30 02:03;1;выигрыш
17429;17432;1,34;162,8752;30 03:19;4;выигрыш
17495;17505;1,35;164,2404;30 03:47;11;выигрыш
17668;17671;1,36;165,6252;30 04:47;4;выигрыш
17720;17720;1,38;171,0900;30 05:06;1;выигрыш
17742;17747;1,42;172,5396;30 05:12;6;выигрыш
