id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
29;31;0,20;17,4340;25 21:19;3;выигрыш
49;61;0,20;17,6435;25 21:28;13;выигрыш
224;224;0,20;18,4775;25 22:23;1;выигрыш
247;249;0,20;18,9115;25 22:32;3;выигрыш
396;406;0,20;19,1311;25 23:27;11;выигрыш
704;719;0,20;19,3597;26 01:17;16;выигрыш
1057;1057;0,20;20,1937;26 03:15;1;выигрыш
1112;1116;0,20;20,3945;26 03:32;5;выигрыш
1166;1167;0,20;21,0285;26 03:48;2;выигрыш
1190;1191;0,20;21,6625;26 03:57;2;выигрыш
1353;1354;0,20;22,2965;26 04:52;2;выигрыш
1416;1421;0,20;22,5075;26 05:16;6;выигрыш
1548;1564;0,20;22,7415;26 06:01;17;выигрыш
1598;1600;0,20;23,1755;26 06:14;3;выигрыш
1620;1627;0,20;23,3837;26 06:23;8;выигрыш
1722;1726;0,20;23,5845;26 06:57;5;выигрыш
1761;1763;0,20;24,0185;26 07:08;3;выигрыш
2095;2098;0,20;24,2525;26 09:10;4;выигрыш
2142;2142;0,20;25,0865;26 09:25;1;выигрыш
2191;2192;0,20;25,7205;26 09:40;2;выигрыш
2274;2280;0,20;25,9234;26 10:07;7;выигрыш
2321;2321;0,20;26,7574;26 10:20;1;выигрыш
2423;2423;0,20;27,5914;26 10:59;1;выигрыш
2459;2460;0,20;28,2254;26 11:11;2;выигрыш
2481;2481;0,20;29,0594;26 11:17;1;выигрыш
2627;2633;0,20;29,2623;26 12:12;7;выигрыш
2758;2760;0,20;29,6963;26 13:01;3;выигрыш
2826;2827;0,20;30,3303;26 13:25;2;выигрыш
2866;2866;0,20;31,1643;26 13:37;1;выигрыш
3170;3174;0,20;31,3651;26 15:27;5;выигрыш
3217;3223;0,20;31,5680;26 15:45;7;выигрыш
3296;3298;0,20;32,0020;26 16:13;3;выигрыш
3481;3482;0,20;32,6360;26 17:23;2;выигрыш
3584;3600;0,20;32,8700;26 18:09;17;выигрыш
3737;3738;0,20;33,5040;26 19:04;2;выигрыш
3943;3946;0,20;33,7380;26 20:29;4;выигрыш
4018;4020;0,20;34,1720;26 20:59;3;выигрыш
4152;4155;0,20;34,4060;26 21:57;4;выигрыш
4253;4254;0,20;35,0400;26 22:33;2;выигрыш
4279;4279;0,20;35,8740;26 22:40;1;выигрыш
4382;4390;0,20;36,0809;26 23:19;9;выигрыш
4567;4567;0,20;36,9149;27 00:26;1;выигрыш
4634;4641;0,20;37,1231;27 00:50;8;выигрыш
4680;4687;0,20;37,3313;27 01:05;8;выигрыш
4752;4755;0,20;37,5653;27 01:27;4;выигрыш
4770;4786;0,20;21,2553;27 01:35;17;стоп
4851;4851;0,20;22,0893;27 02:00;1;выигрыш
4985;4985;0,20;22,9233;27 02:42;1;выигрыш
5262;5263;0,20;23,5573;27 04:16;2;выигрыш
5577;5591;0,20;23,7809;27 06:09;15;выигрыш
5839;5848;0,20;24,0016;27 07:44;10;выигрыш
5905;5909;0,20;24,2024;27 08:04;5;выигрыш
6034;6035;0,20;24,8364;27 08:56;2;выигрыш
