множитель;результат всего;макс просадка всего;стопы всего;результат старая часть;результат новая часть;макс просадка новая часть;стопы новая часть;положительных блоков из 8;худший блок
14,25;79,9825;21,0250;47;47,6600;32,3225;14,3800;17;8;2,9825
14,26;80,3486;20,9940;47;47,8880;32,4606;14,3780;17;8;3,0262
14,27;77,2766;20,9630;48;48,7700;28,5066;18,2360;18;8;3,0699
14,28;78,2984;20,9320;48;49,6560;28,6424;18,2340;18;8;3,1136
14,29;79,9242;20,9010;48;51,1460;28,7782;18,2320;18;8;3,1573
14,30;81,7540;20,8700;48;51,3800;30,3740;18,2300;18;8;3,2010
14,31;82,1258;20,8390;48;51,6140;30,5118;18,2280;18;8;3,2447
14,32;85,8256;21,4080;48;53,7120;32,1136;16,7620;18;8;2,6884
14,33;85,4680;21,3770;48;53,2146;32,2534;16,7580;18;8;2,7321
14,34;85,7236;21,3394;48;53,3572;32,3664;16,7040;18;8;2,7524
14,35;88,7690;21,3085;48;56,2630;32,5060;16,7000;18;8;2,7960
14,36;89,1464;21,2776;48;56,5008;32,6456;16,6960;18;8;2,8396
14,37;85,6738;21,2467;49;52,8886;32,7852;16,6920;18;8;2,8832
14,38;86,0512;21,2158;49;53,1264;32,9248;16,6880;18;8;2,9268
14,39;82,3006;21,1849;50;53,3642;28,9364;16,6840;19;8;2,9704
14,40;77,3460;21,1540;51;53,6020;23,7440;16,6800;20;8;3,0140
14,41;77,7663;21,1231;51;53,8867;23,8796;16,6760;20;8;3,0576
14,42;78,4740;21,0922;51;54,1254;24,3486;16,6720;20;8;3,1012
14,43;78,0508;21,2642;51;53,7011;24,3497;16,5880;20;8;2,7476
14,44;76,5428;21,2336;51;52,0552;24,4876;16,5840;20;8;2,7908
14,45;71,9990;21,2030;52;47,3735;24,6255;16,5800;20;8;2,8340
14,46;72,3732;21,1724;52;47,6098;24,7634;16,5760;20;8;2,8772
14,47;75,0414;21,1418;52;50,5401;24,5013;16,5720;20;8;5,6144
14,48;75,4176;21,1112;52;50,7784;24,6392;16,5680;20;8;5,6596
14,49;71,6711;25,2033;53;46,8940;24,7771;16,5640;20;8;1,5821
14,50;72,0500;25,0350;53;47,1650;24,8850;16,5200;20;8;1,7350
14,51;66,7014;25,0067;54;41,6787;25,0227;16,5160;20;7;-3,9441
14,52;63,0136;29,0376;55;37,8532;25,1604;16,5120;20;7;-7,9624
14,53;63,3829;29,0114;55;38,0848;25,2981;16,5080;20;7;-7,9236
14,54;63,7522;28,9852;55;38,3164;25,4358;16,5040;20;7;-7,8848
14,55;64,1215;28,9590;55;38,5480;25,5735;16,5000;20;7;-7,8460
