№ цикла;ID сигнала 10/10;ID первой ставки;ID выхода;Множитель выхода;Количество проигрышей;Убыток до победы при базе 0,20;Закрывающая ставка при базе 0,20;Необходимый банк при базе 0,20;Фактическая начальная ставка с реинвестированием;Баланс перед циклом;Фактический убыток до победы;Фактическая закрывающая ставка;Фактически необходимый банк;Использовано баланса, %;Прибыль цикла;Баланс после выхода
20;1411;1412;1421;16.18;9;6.76;2.90;9.66;0.25;31.8540;8.47;3.64;12.11;38.0172;0.2660;32.1200
21;1548;1549;1557;4.52;8;4.71;2.05;6.76;0.25;32.1200;5.90;2.57;8.47;26.3699;0.2680;32.3880
64;6333;6334;6345;16.25;11;13.77;5.83;19.60;0.43;54.2140;29.44;12.45;41.89;77.2679;0.4400;54.6540
72;6925;6926;6934;6.79;8;4.71;2.05;6.76;0.48;60.3680;11.20;4.87;16.07;26.6201;0.4880;60.8560
78;7459;7460;7468;4.45;8;4.71;2.05;6.76;0.51;64.6300;11.95;5.20;17.15;26.5357;0.5300;65.1600
109;10403;10404;10413;5.42;9;6.76;2.90;9.66;0.76;95.4180;25.42;10.91;36.33;38.0746;0.7640;96.1820
127;12492;12493;12502;4.88;9;6.76;2.90;9.66;0.96;120.0180;32.07;13.77;45.84;38.1943;0.9780;120.9960
153;15671;15672;15680;480.83;8;4.71;2.05;6.76;1.26;158.0280;29.37;12.77;42.14;26.6662;1.2780;159.3060
171;16988;16989;16999;11.01;10;9.66;4.11;13.77;1.55;194.5660;74.05;31.50;105.55;54.2489;1.5500;196.1160
178;17493;17494;17505;60.33;11;13.77;5.83;19.60;1.67;209.9800;113.72;48.08;161.80;77.0550;1.6720;211.6520
181;17735;17736;17747;67.20;11;13.77;5.83;19.60;1.75;219.8360;119.10;50.36;169.46;77.0847;1.7640;221.6000
186;18268;18269;18280;19.04;11;13.77;5.83;19.60;1.89;236.4600;128.63;54.39;183.02;77.4000;1.9060;238.3660
199;19913;19914;19924;9.16;10;9.66;4.11;13.77;2.17;271.5460;103.65;44.10;147.75;54.4107;2.1900;273.7360
201;20222;20223;20231;4.27;8;4.71;2.05;6.76;2.21;276.7880;51.47;22.37;73.84;26.6775;2.2180;279.0060
213;21388;21389;21397;13.93;8;4.71;2.05;6.76;2.55;319.3220;59.33;25.79;85.12;26.6565;2.5660;321.8880
255;24964;24965;24976;22.37;11;13.77;5.83;19.60;4.21;526.5360;286.35;121.07;407.42;77.3774;4.2180;530.7540
257;25171;25172;25180;6.85;8;4.71;2.05;6.76;4.29;536.6900;99.83;43.39;143.22;26.6858;4.3060;540.9960
263;25609;25610;25621;11.32;11;13.77;5.83;19.60;4.63;579.2060;314.72;133.07;447.79;77.3110;4.6480;583.8540
