Проигрышей после входа;Циклов ровно с таким числом проигрышей;Частота ровно, %;Циклов, достигших не менее этого уровня;Частота достижения, %;Примерно один раз на N циклов;Примерно один раз на N результатов;Накопленный убыток после проигрышей при базе 0,20;Следующая ставка;Необходимый банк: убыток + следующая ставка;Необходимый банк в начальных ставках;Статус
0;84;30.0000;280;100.0000;1.00;97.38;0.00;0.20;0.20;1.00;Встречалось в истории
1;60;21.4286;196;70.0000;1.43;139.11;0.20;0.20;0.40;2.00;Встречалось в истории
2;42;15.0000;136;48.5714;2.06;200.48;0.40;0.25;0.65;3.25;Встречалось в истории
3;23;8.2143;94;33.5714;2.98;290.05;0.65;0.36;1.01;5.05;Встречалось в истории
4;18;6.4286;71;25.3571;3.94;384.01;1.01;0.51;1.52;7.60;Встречалось в истории
5;19;6.7857;53;18.9286;5.28;514.43;1.52;0.72;2.24;11.20;Встречалось в истории
6;9;3.2143;34;12.1429;8.24;801.91;2.24;1.02;3.26;16.30;Встречалось в истории
7;7;2.5000;25;8.9286;11.20;1090.60;3.26;1.45;4.71;23.55;Встречалось в истории
8;7;2.5000;18;6.4286;15.56;1514.72;4.71;2.05;6.76;33.80;Встречалось в истории
9;3;1.0714;11;3.9286;25.45;2478.64;6.76;2.90;9.66;48.30;Встречалось в истории
10;2;0.7143;8;2.8571;35.00;3408.12;9.66;4.11;13.77;68.85;Встречалось в истории
11;6;2.1429;6;2.1429;46.67;4544.17;13.77;5.83;19.60;98.00;Встречалось в истории
12;0;0.0000;0;0.0000;;;19.60;8.25;27.85;139.25;"Не встречалось; полный стоп 12"
