id;начальная ставка;депозит после выигрыша;Время;порядковый номер выигрышного шага
28;0,20;20,2140;25 21:21;4
55;0,20;20,4280;25 21:27;4
127;0,20;20,9080;25 21:51;1
171;0,20;21,3880;25 22:04;1
222;0,21;21,6820;25 22:22;2
246;0,21;21,9040;25 22:30;4
363;0,21;22,1260;25 23:12;4
403;0,22;22,3560;25 23:25;8
564;0,22;22,6640;26 00:24;2
709;0,22;23,1920;26 01:14;1
812;0,23;23,7440;26 01:53;1
853;0,23;24,0660;26 02:06;2
943;0,24;24,6420;26 02:38;1
1057;0,24;24,8820;26 03:15;3
1069;0,24;25,2180;26 03:18;2
1163;0,25;25,8180;26 03:47;1
1214;0,25;26,1680;26 04:03;2
1289;0,26;26,7920;26 04:30;1
1354;0,26;27,0680;26 04:52;6
1421;0,27;27,3580;26 05:16;10
1557;0,27;27,6380;26 05:59;9
1763;0,27;27,9100;26 07:08;5
2094;0,27;28,1820;26 09:07;4
2114;0,28;28,8540;26 09:13;1
2212;0,28;29,5260;26 09:46;1
2444;0,29;30,2220;26 11:05;1
2460;0,30;30,5340;26 11:11;6
2521;0,30;31,2540;26 11:32;1
2633;0,31;31,5700;26 12:12;3
2809;0,31;31,8860;26 13:19;3
2827;0,31;32,2100;26 13:25;6
2864;0,32;32,5300;26 13:36;3
2890;0,32;32,8500;26 13:45;3
3173;0,32;33,1900;26 15:26;6
3195;0,33;33,9820;26 15:36;1
3223;0,33;34,3140;26 15:45;7
3298;0,34;34,6660;26 16:13;7
3386;0,34;35,4820;26 16:44;1
3480;0,35;35,8540;26 17:22;4
3584;0,35;36,2200;26 18:04;5
3736;0,36;37,0840;26 19:01;1
3863;0,37;37,9720;26 19:55;1
3879;0,37;38,8600;26 20:02;1
4018;0,38;39,3920;26 20:59;2
4208;0,39;39,7880;26 22:16;3
4254;0,39;40,1840;26 22:33;3
4278;0,40;40,5880;26 22:39;4
4379;0,40;41,1480;26 23:16;2
4483;0,41;42,1320;26 23:53;1
4641;0,42;42,5520;27 00:50;6
4755;0,42;42,9900;27 01:27;8
4778;0,42;43,5780;27 01:33;2
4850;0,43;44,0260;27 01:58;4
5157;0,44;45,0820;27 03:43;1
5214;0,45;45,7120;27 04:01;2
5233;0,45;46,7920;27 04:07;1
5501;0,46;47,8960;27 05:38;1
5583;0,47;48,3720;27 06:06;3
5805;0,48;49,5240;27 07:31;1
5901;0,49;50,7000;27 08:02;1
6109;0,50;51,2060;27 09:21;4
6135;0,51;51,9200;27 09:32;2
6285;0,51;52,4520;27 10:24;6
6345;0,52;52,9900;27 10:42;12
6484;0,52;54,2380;27 11:36;1
6528;0,54;55,5340;27 11:49;1
6783;0,55;56,0900;27 13:23;3
6798;0,56;57,4340;27 13:26;1
6829;0,57;58,0100;27 13:38;5
6877;0,58;58,5920;27 13:53;4
6888;0,58;59,9840;27 13:57;1
6934;0,59;60,5940;27 14:14;9
6959;0,60;62,0340;27 14:23;1
7011;0,62;62,6660;27 14:42;3
7135;0,62;63,5340;27 15:27;2
7301;0,63;64,4160;27 16:28;2
7414;0,64;65,3120;27 17:07;2
7468;0,65;65,9800;27 17:23;9
7558;0,65;66,8900;27 17:56;2
7869;0,66;67,5720;27 19:52;4
7891;0,67;69,1800;27 19:58;1
