id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат;депозит до цикла;полный стоп;3 стопа;3 стопа % депозита
55;61;0,49;50,5216;25 21:28;7;выигрыш;50,0000;10,81;32,43;64,8600
402;406;0,49;51,0336;25 23:27;5;выигрыш;50,5216;10,81;32,43;64,1904
710;719;0,50;51,5508;26 01:17;10;выигрыш;51,0336;11,00;33,00;64,6633
1554;1564;0,50;52,0708;26 06:01;11;выигрыш;51,5508;11,00;33,00;64,0145
1626;1627;0,51;53,6620;26 06:23;2;выигрыш;52,0708;11,19;33,57;64,4699
2280;2280;0,52;55,8044;26 10:07;1;выигрыш;53,6620;11,46;34,38;64,0677
2633;2633;0,54;58,0292;26 12:12;1;выигрыш;55,8044;11,90;35,70;63,9735
3223;3223;0,56;60,3364;26 15:45;1;выигрыш;58,0292;12,32;36,96;63,6921
3590;3600;0,59;60,9656;26 18:09;11;выигрыш;60,3364;12,99;38,97;64,5879
4388;4390;0,60;62,2376;26 23:19;3;выигрыш;60,9656;13,20;39,60;64,9547
4640;4641;0,61;64,1408;27 00:50;2;выигрыш;62,2376;13,44;40,32;64,7840
4686;4687;0,63;66,1064;27 01:05;2;выигрыш;64,1408;13,88;41,64;64,9197
4776;4786;0,65;51,8164;27 01:35;11;стоп;66,1064;14,29;42,87;64,8500
5583;5591;0,51;52,3340;27 06:09;9;выигрыш;51,8164;11,19;33,57;64,7864
5845;5848;0,51;52,9052;27 07:44;4;выигрыш;52,3340;11,19;33,57;64,1457
6144;6144;0,52;55,0476;27 09:35;1;выигрыш;52,9052;11,46;34,38;64,9842
6289;6289;0,54;57,2724;27 10:26;1;выигрыш;55,0476;11,90;35,70;64,8530
6344;6345;0,56;59,0196;27 10:42;2;выигрыш;57,2724;12,32;36,96;64,5337
6829;6829;0,58;61,4092;27 13:38;1;выигрыш;59,0196;12,76;38,28;64,8598
6929;6934;0,60;62,0284;27 14:14;6;выигрыш;61,4092;13,20;39,60;64,4855
7412;7414;0,60;63,3004;27 17:07;3;выигрыш;62,0284;13,20;39,60;63,8417
7464;7472;0,62;63,9576;27 17:25;9;выигрыш;63,3004;13,65;40,95;64,6915
7921;7922;0,62;65,8920;27 20:09;2;выигрыш;63,9576;13,65;40,95;64,0268
8410;8420;0,64;66,5576;27 23:08;11;выигрыш;65,8920;14,08;42,24;64,1049
9073;9082;0,65;67,2196;28 02:54;10;выигрыш;66,5576;14,29;42,87;64,4104
9452;9460;0,66;67,8800;28 05:01;9;выигрыш;67,2196;14,53;43,59;64,8472
9666;9670;0,66;68,5772;28 06:13;5;выигрыш;67,8800;14,53;43,59;64,2163
9798;9798;0,67;71,3376;28 06:56;1;выигрыш;68,5772;14,73;44,19;64,4383
10241;10249;0,70;72,0724;28 09:35;9;выигрыш;71,3376;15,39;46,17;64,7204
11121;11122;0,70;74,2564;28 14:32;2;выигрыш;72,0724;15,39;46,17;64,0606
11427;11434;0,73;75,0016;28 16:27;8;выигрыш;74,2564;16,06;48,18;64,8833
12126;12135;0,74;75,7520;28 20:37;10;выигрыш;75,0016;16,24;48,72;64,9586
12288;12291;0,74;76,5808;28 21:28;4;выигрыш;75,7520;16,24;48,72;64,3151
12503;12508;0,75;77,3576;28 22:38;6;выигрыш;76,5808;16,53;49,59;64,7551
12805;12814;0,76;78,1476;29 00:25;10;выигрыш;77,3576;16,71;50,13;64,8029
12861;12861;0,77;81,3200;29 00:39;1;выигрыш;78,1476;16,92;50,76;64,9540
12929;12929;0,80;84,6160;29 01:01;1;выигрыш;81,3200;17,58;52,74;64,8549
13056;13058;0,83;86,3756;29 01:41;3;выигрыш;84,6160;18,23;54,69;64,6332
13179;13182;0,85;87,3276;29 02:22;4;выигрыш;86,3756;18,68;56,04;64,8794
13514;13514;0,86;90,8708;29 04:16;1;выигрыш;87,3276;18,89;56,67;64,8936
14028;14031;0,89;91,8676;29 07:19;4;выигрыш;90,8708;19,58;58,74;64,6412
14481;14484;0,90;92,8756;29 09:54;4;выигрыш;91,8676;19,75;59,25;64,4950
14584;14585;0,91;95,7148;29 10:30;2;выигрыш;92,8756;20,00;60,00;64,6025
14862;14865;0,94;96,7676;29 12:05;4;выигрыш;95,7148;20,65;61,95;64,7235
15563;15566;0,95;97,8316;29 16:22;4;выигрыш;96,7676;20,86;62,58;64,6704
15677;15680;0,96;98,9068;29 17:04;4;выигрыш;97,8316;21,09;63,27;64,6724
15771;15771;0,97;102,9032;29 17:34;1;выигрыш;98,9068;21,30;63,90;64,6063
16487;16497;1,01;80,7332;29 21:55;11;стоп;102,9032;22,17;66,51;64,6336
