id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
55;61;0,65;50,6876;25 21:28;7;выигрыш
402;406;0,65;51,3424;25 23:27;5;выигрыш
710;719;0,66;52,0192;26 01:17;10;выигрыш
1554;1564;0,67;52,7004;26 06:01;11;выигрыш
1626;1627;0,68;54,8220;26 06:23;2;выигрыш
2280;2280;0,71;57,7472;26 10:07;1;выигрыш
2633;2633;0,75;60,8372;26 12:12;1;выигрыш
3223;3223;0,79;64,0920;26 15:45;1;выигрыш
3590;3600;0,83;64,9596;26 18:09;11;выигрыш
4388;4390;0,84;66,7404;26 23:19;3;выигрыш
4640;4641;0,86;69,4236;27 00:50;2;выигрыш
4686;4687;0,90;72,2316;27 01:05;2;выигрыш
4776;4786;0,93;51,8216;27 01:35;11;стоп
5583;5591;0,67;52,5056;27 06:09;9;выигрыш
5845;5848;0,68;53,2672;27 07:44;4;выигрыш
6144;6144;0,69;56,1100;27 09:35;1;выигрыш
6289;6289;0,72;59,0764;27 10:26;1;выигрыш
6344;6345;0,76;61,4476;27 10:42;2;выигрыш
6829;6829;0,79;64,7024;27 13:38;1;выигрыш
6929;6934;0,84;65,5548;27 14:14;6;выигрыш
7412;7414;0,85;67,3568;27 17:07;3;выигрыш
7464;7472;0,87;68,2404;27 17:25;9;выигрыш
7921;7922;0,88;70,9860;27 20:09;2;выигрыш
8410;8420;0,92;71,9416;27 23:08;11;выигрыш
9073;9082;0,93;72,9048;28 02:54;10;выигрыш
9452;9460;0,94;73,8524;28 05:01;9;выигрыш
9666;9670;0,96;74,8328;28 06:13;5;выигрыш
9798;9798;0,97;78,8292;28 06:56;1;выигрыш
10241;10249;1,02;79,8644;28 09:35;9;выигрыш
11121;11122;1,03;83,0780;28 14:32;2;выигрыш
11427;11434;1,08;84,1916;28 16:27;8;выигрыш
12126;12135;1,09;85,3144;28 20:37;10;выигрыш
12288;12291;1,10;86,5464;28 21:28;4;выигрыш
12503;12508;1,12;87,6692;28 22:38;6;выигрыш
12805;12814;1,13;88,8188;29 00:25;10;выигрыш
12861;12861;1,15;93,5568;29 00:39;1;выигрыш
12929;12929;1,21;98,5420;29 01:01;1;выигрыш
13056;13058;1,28;101,2556;29 01:41;3;выигрыш
13179;13182;1,31;102,7228;29 02:22;4;выигрыш
13514;13514;1,33;108,2024;29 04:16;1;выигрыш
14028;14031;1,40;109,7704;29 07:19;4;выигрыш
14481;14484;1,42;111,3608;29 09:54;4;выигрыш
14584;14585;1,44;115,8536;29 10:30;2;выигрыш
14862;14865;1,50;117,5336;29 12:05;4;выигрыш
15563;15566;1,52;119,2360;29 16:22;4;выигрыш
15677;15680;1,55;120,9720;29 17:04;4;выигрыш
15771;15771;1,57;127,4404;29 17:34;1;выигрыш
16487;16497;1,65;91,2404;29 21:55;11;стоп
16992;16999;1,18;92,4416;30 00:49;8;выигрыш
17137;17140;1,20;93,7856;30 01:36;4;выигрыш
17499;17505;1,21;94,9980;30 03:47;7;выигрыш
17746;17747;1,23;98,8356;30 05:12;2;выигрыш
17891;17892;1,28;102,8292;30 06:06;2;выигрыш
17971;17971;1,33;108,3088;30 06:34;1;выигрыш
18148;18158;1,40;109,7112;30 07:40;11;выигрыш
18279;18280;1,42;114,1416;30 08:20;2;выигрыш
18550;18551;1,48;118,7592;30 09:52;2;выигрыш
19105;19111;1,54;120,3060;30 13:17;7;выигрыш
19207;19213;1,56;121,8776;30 13:50;7;выигрыш
