id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
30;31;0,20;14,6240;25 21:19;2;выигрыш
50;61;0,20;14,8508;25 21:28;12;выигрыш
248;249;0,20;15,4748;25 22:32;2;выигрыш
397;406;0,20;15,7136;25 23:27;10;выигрыш
705;719;0,20;15,9464;26 01:17;15;выигрыш
1113;1116;0,20;16,1704;26 03:32;4;выигрыш
1167;1167;0,20;16,9944;26 03:48;1;выигрыш
1191;1191;0,20;17,8184;26 03:57;1;выигрыш
1354;1354;0,20;18,6424;26 04:52;1;выигрыш
1417;1421;0,20;18,8724;26 05:16;5;выигрыш
1549;1564;0,20;19,0988;26 06:01;16;выигрыш
1599;1600;0,20;19,7228;26 06:14;2;выигрыш
1621;1627;0,20;19,9284;26 06:23;7;выигрыш
1723;1726;0,20;20,1524;26 06:57;4;выигрыш
1762;1763;0,20;20,7764;26 07:08;2;выигрыш
2096;2098;0,20;21,2004;26 09:10;3;выигрыш
2192;2192;0,20;22,0244;26 09:40;1;выигрыш
2275;2280;0,20;22,2516;26 10:07;6;выигрыш
2460;2460;0,20;23,0756;26 11:11;1;выигрыш
2628;2633;0,20;23,3028;26 12:12;6;выигрыш
2759;2760;0,20;23,9268;26 13:01;2;выигрыш
2827;2827;0,20;24,7508;26 13:25;1;выигрыш
3171;3174;0,20;24,9748;26 15:27;4;выигрыш
3218;3223;0,20;25,2020;26 15:45;6;выигрыш
3297;3298;0,20;25,8260;26 16:13;2;выигрыш
3482;3482;0,20;26,6500;26 17:23;1;выигрыш
3585;3600;0,20;26,8764;26 18:09;16;выигрыш
3738;3738;0,20;27,7004;26 19:04;1;выигрыш
3944;3946;0,20;28,1244;26 20:29;3;выигрыш
4019;4020;0,20;28,7484;26 20:59;2;выигрыш
4153;4155;0,20;29,1724;26 21:57;3;выигрыш
4254;4254;0,20;29,9964;26 22:33;1;выигрыш
4383;4390;0,20;30,2340;26 23:19;8;выигрыш
4635;4641;0,20;30,4396;27 00:50;7;выигрыш
4681;4687;0,20;30,6452;27 01:05;7;выигрыш
4753;4755;0,20;31,0692;27 01:27;3;выигрыш
4771;4786;0,20;17,3692;27 01:35;16;стоп
5578;5591;0,20;17,5904;27 06:09;14;выигрыш
5840;5848;0,20;17,8012;27 07:44;9;выигрыш
5906;5909;0,20;18,0252;27 08:04;4;выигрыш
6035;6035;0,20;18,8492;27 08:56;1;выигрыш
6108;6110;0,20;19,2732;27 09:23;3;выигрыш
6139;6144;0,20;19,5004;27 09:35;6;выигрыш
6284;6289;0,20;19,7276;27 10:26;6;выигрыш
6339;6345;0,20;19,9332;27 10:42;7;выигрыш
6489;6491;0,20;20,3572;27 11:37;3;выигрыш
6637;6641;0,20;20,5872;27 12:31;5;выигрыш
6745;6745;0,20;21,4112;27 13:10;1;выигрыш
6769;6770;0,20;22,0352;27 13:20;2;выигрыш
6786;6787;0,20;22,6592;27 13:26;2;выигрыш
6824;6829;0,20;22,8864;27 13:38;6;выигрыш
6924;6934;0,20;23,1268;27 14:14;11;выигрыш
7007;7011;0,20;23,3568;27 14:42;5;выигрыш
7407;7414;0,20;23,5944;27 17:07;8;выигрыш
7459;7472;0,20;23,8156;27 17:25;14;выигрыш
7508;7510;0,20;24,2396;27 17:38;3;выигрыш
7627;7629;0,20;24,6636;27 18:23;3;выигрыш
7844;7846;0,20;25,0876;27 19:45;3;выигрыш
7916;7922;0,20;25,2932;27 20:09;7;выигрыш
7961;7962;0,20;25,9172;27 20:21;2;выигрыш
8056;8059;0,20;26,1412;27 20:55;4;выигрыш
8405;8420;0,20;26,3676;27 23:08;16;выигрыш
8476;8476;0,20;27,1916;27 23:26;1;выигрыш
8492;8492;0,20;28,0156;27 23:30;1;выигрыш
8555;8555;0,20;28,8396;27 23:54;1;выигрыш
8744;8745;0,20;29,4636;28 00:58;2;выигрыш
9068;9082;0,20;29,6964;28 02:54;15;выигрыш
9240;9244;0,20;29,9264;28 03:48;5;выигрыш
9365;9365;0,20;30,7504;28 04:33;1;выигрыш
9447;9460;0,20;30,9716;28 05:01;14;выигрыш
9661;9670;0,20;31,2104;28 06:13;10;выигрыш
9793;9798;0,20;31,4376;28 06:56;6;выигрыш
9876;9878;0,20;31,8616;28 07:26;3;выигрыш
9949;9951;0,20;32,2856;28 07:51;3;выигрыш
10081;10082;0,20;32,9096;28 08:37;2;выигрыш
10236;10249;0,20;33,1308;28 09:35;14;выигрыш
10305;10308;0,20;33,3548;28 09:55;4;выигрыш
10338;10341;0,20;33,5788;28 10:04;4;выигрыш
10409;10413;0,20;33,8088;28 10:29;5;выигрыш
10462;10465;0,20;34,0328;28 10:50;4;выигрыш
10533;10534;0,20;34,6568;28 11:13;2;выигрыш
10656;10658;0,20;35,0808;28 11:56;3;выигрыш
10751;10752;0,20;35,7048;28 12:25;2;выигрыш
10887;10890;0,20;35,9288;28 13:13;4;выигрыш
11116;11122;0,20;36,1344;28 14:32;7;выигрыш
11225;11225;0,20;36,9584;28 15:09;1;выигрыш
11422;11434;0,20;37,1988;28 16:27;13;выигрыш
11704;11704;0,20;38,0228;28 18:06;1;выигрыш
11995;11996;0,20;38,6468;28 19:52;2;выигрыш
12121;12135;0,20;38,8796;28 20:37;15;выигрыш
12238;12240;0,20;39,3036;28 21:12;3;выигрыш
12283;12291;0,20;39,5144;28 21:28;9;выигрыш
12307;12308;0,20;40,1384;28 21:33;2;выигрыш
12403;12405;0,20;40,5624;28 22:05;3;выигрыш
12429;12431;0,20;40,9864;28 22:14;3;выигрыш
12464;12464;0,20;41,8104;28 22:25;1;выигрыш
12498;12508;0,20;42,0508;28 22:38;11;выигрыш
12532;12536;0,20;42,2808;28 22:47;5;выигрыш
12665;12668;0,20;42,5048;28 23:33;4;выигрыш
12800;12814;0,20;42,7376;29 00:25;15;выигрыш
12856;12861;0,20;42,9648;29 00:39;6;выигрыш
12924;12929;0,20;43,1920;29 01:01;6;выигрыш
12960;12961;0,20;43,8160;29 01:09;2;выигрыш
13051;13058;0,20;44,0536;29 01:41;8;выигрыш
13174;13182;0,20;44,2644;29 02:22;9;выигрыш
13199;13199;0,20;45,0884;29 02:27;1;выигрыш
13353;13353;0,20;45,9124;29 03:20;1;выигрыш
13509;13514;0,20;46,1396;29 04:16;6;выигрыш
13751;13754;0,20;46,3636;29 05:42;4;выигрыш
13930;13931;0,20;46,9876;29 06:46;2;выигрыш
14001;14002;0,20;47,6116;29 07:10;2;выигрыш
14023;14031;0,20;47,8224;29 07:19;9;выигрыш
14108;14108;0,20;48,6464;29 07:46;1;выигрыш
14278;14281;0,20;48,8704;29 08:44;4;выигрыш
14476;14484;0,20;49,0812;29 09:54;9;выигрыш
14579;14585;0,20;49,2868;29 10:30;7;выигрыш
14857;14865;0,20;49,4976;29 12:05;9;выигрыш
15088;15088;0,20;50,3216;29 13:25;1;выигрыш
15150;15153;0,20;50,5456;29 13:50;4;выигрыш
15317;15317;0,20;51,3696;29 14:51;1;выигрыш
15333;15337;0,20;51,5996;29 14:55;5;выигрыш
15413;15415;0,20;52,0236;29 15:27;3;выигрыш
15558;15566;0,20;52,2344;29 16:22;9;выигрыш
15672;15680;0,20;52,4452;29 17:04;9;выигрыш
15700;15701;0,20;53,0692;29 17:10;2;выигрыш
15766;15771;0,20;53,2964;29 17:34;6;выигрыш
15789;15790;0,20;53,9204;29 17:41;2;выигрыш
15907;15911;0,20;54,1504;29 18:29;5;выигрыш
15949;15951;0,20;54,5744;29 18:44;3;выигрыш
16051;16051;0,20;55,3984;29 19:24;1;выигрыш
16150;16151;0,20;56,0224;29 19:57;2;выигрыш
16226;16227;0,20;56,6464;29 20:23;2;выигрыш
16448;16450;0,20;57,0704;29 21:40;3;выигрыш
16482;16497;0,20;43,3704;29 21:55;16;стоп
16539;16541;0,20;43,7944;29 22:10;3;выигрыш
16650;16650;0,20;44,6184;29 22:48;1;выигрыш
16677;16679;0,20;45,0424;29 22:58;3;выигрыш
16737;16738;0,20;45,6664;29 23:20;2;выигрыш
16987;16999;0,20;45,9068;30 00:49;13;выигрыш
17073;17075;0,20;46,3308;30 01:16;3;выигрыш
17132;17140;0,20;46,5416;30 01:36;9;выигрыш
17167;17168;0,20;47,1656;30 01:46;2;выигрыш
17215;17216;0,20;47,7896;30 02:03;2;выигрыш
17249;17250;0,20;48,4136;30 02:15;2;выигрыш
17428;17432;0,20;48,6436;30 03:19;5;выигрыш
17494;17505;0,20;48,8704;30 03:47;12;выигрыш
17667;17671;0,20;49,1004;30 04:47;5;выигрыш
17719;17720;0,20;49,7244;30 05:06;2;выигрыш
17741;17747;0,20;49,9300;30 05:12;7;выигрыш
17886;17892;0,20;50,1356;30 06:06;7;выигрыш
17966;17971;0,20;50,3628;30 06:34;6;выигрыш
18143;18158;0,20;50,5892;30 07:40;16;выигрыш
18274;18280;0,20;50,7948;30 08:20;7;выигрыш
18326;18327;0,20;51,4188;30 08:35;2;выигрыш
18507;18508;0,20;52,0428;30 09:39;2;выигрыш
18545;18551;0,20;52,2484;30 09:52;7;выигрыш
18677;18679;0,20;52,6724;30 10:39;3;выигрыш
18768;18768;0,20;53,4964;30 11:13;1;выигрыш
19100;19111;0,20;53,7232;30 13:17;12;выигрыш
19202;19213;0,20;53,9500;30 13:50;12;выигрыш
19329;19331;0,20;54,3740;30 14:33;3;выигрыш
19535;19535;0,20;55,1980;30 15:50;1;выигрыш
19567;19577;0,20;55,4384;30 16:07;11;выигрыш
19657;19663;0,20;55,6440;30 16:35;7;выигрыш
19679;19689;0,20;55,8844;30 16:44;11;выигрыш
19880;19880;0,20;56,7084;30 17:51;1;выигрыш
19918;19924;0,20;56,9140;30 18:09;7;выигрыш
19959;19961;0,20;57,3380;30 18:21;3;выигрыш
20070;20070;0,20;58,1620;30 19:01;1;выигрыш
20228;20235;0,20;58,3996;30 20:08;8;выигрыш
20251;20255;0,20;58,6296;30 20:14;5;выигрыш
20423;20432;0,20;58,8684;30 21:19;10;выигрыш
20594;20605;0,20;59,0952;30 22:18;12;выигрыш
20734;20734;0,20;59,9192;30 23:04;1;выигрыш
20826;20828;0,20;60,3432;30 23:35;3;выигрыш
20973;20974;0,20;60,9672;31 00:28;2;выигрыш
21118;21123;0,20;61,1944;31 01:16;6;выигрыш
21328;21338;0,20;61,4332;31 02:30;10;выигрыш
21378;21378;0,20;62,2572;31 02:42;1;выигрыш
21394;21397;0,20;62,4812;31 02:47;4;выигрыш
21417;21418;0,20;63,1052;31 02:53;2;выигрыш
21512;21512;0,20;63,9292;31 03:24;1;выигрыш
21639;21643;0,20;64,1592;31 04:08;5;выигрыш
21948;21959;0,20;64,3860;31 06:04;12;выигрыш
22149;22151;0,20;64,8100;31 07:16;3;выигрыш
22234;22238;0,20;65,0400;31 07:48;5;выигрыш
22369;22383;0,20;65,2728;31 08:39;15;выигрыш
22544;22549;0,20;65,5000;31 09:37;6;выигрыш
22657;22657;0,20;66,3240;31 10:18;1;выигрыш
22875;22876;0,20;66,9480;31 11:40;2;выигрыш
22936;22936;0,20;67,7720;31 12:01;1;выигрыш
22952;22952;0,20;68,5960;31 12:05;1;выигрыш
23149;23155;0,20;68,8016;31 13:13;7;выигрыш
23301;23313;0,20;69,0420;31 14:09;13;выигрыш
23351;23353;0,20;69,4660;31 14:23;3;выигрыш
23458;23462;0,20;69,6960;31 15:00;5;выигрыш
23646;23650;0,20;69,9260;31 16:06;5;выигрыш
23750;23751;0,20;70,5500;31 16:43;2;выигрыш
23894;23904;0,20;70,7904;31 17:36;11;выигрыш
23997;24007;0,20;71,0308;31 18:11;11;выигрыш
24030;24041;0,20;71,2576;31 18:21;12;выигрыш
24127;24128;0,20;71,8816;31 18:50;2;выигрыш
24147;24162;0,20;58,1816;31 19:02;16;стоп
24203;24203;0,20;59,0056;31 19:16;1;выигрыш
24365;24371;0,20;59,2112;31 20:22;7;выигрыш
24494;24496;0,20;59,6352;31 21:09;3;выигрыш
24574;24574;0,20;60,4592;31 21:34;1;выигрыш
24775;24778;0,20;60,6832;31 22:43;4;выигрыш
24970;24976;0,20;60,8888;31 23:53;7;выигрыш
25177;25180;0,20;61,1128;1 01:05;4;выигрыш
25311;25313;0,20;61,5368;1 01:53;3;выигрыш
25546;25550;0,20;61,7668;1 03:12;5;выигрыш
25615;25621;0,20;61,9724;1 03:36;7;выигрыш
25668;25669;0,20;62,5964;1 03:52;2;выигрыш
25699;25701;0,20;63,0204;1 04:02;3;выигрыш
25758;25761;0,20;63,2444;1 04:21;4;выигрыш
25794;25796;0,20;63,6684;1 04:31;3;выигрыш
25824;25833;0,20;63,9072;1 04:43;10;выигрыш
25978;25978;0,20;64,7312;1 05:32;1;выигрыш
26099;26101;0,20;65,1552;1 06:16;3;выигрыш
26122;26122;0,20;65,9792;1 06:23;1;выигрыш
26278;26285;0,20;66,2168;1 07:21;8;выигрыш
26736;26745;0,20;66,4556;1 10:04;10;выигрыш
27069;27069;0,20;67,2796;1 11:59;1;выигрыш
27142;27145;0,20;67,5036;1 12:26;4;выигрыш
27224;27227;0,20;67,7276;1 12:57;4;выигрыш
27364;27366;0,20;68,1516;1 13:53;3;выигрыш
27403;27403;0,20;68,9756;1 14:04;1;выигрыш
27658;27658;0,20;69,7996;1 15:35;1;выигрыш
27745;27754;0,20;70,0384;1 16:10;10;выигрыш
28003;28005;0,20;70,4624;1 17:48;3;выигрыш
28107;28114;0,20;70,7000;1 18:25;8;выигрыш
28282;28282;0,20;71,5240;1 19:24;1;выигрыш
28316;28327;0,20;71,7508;1 19:40;12;выигрыш
28349;28356;0,20;71,9884;1 19:49;8;выигрыш
28399;28403;0,20;72,2184;1 20:13;5;выигрыш
28663;28663;0,20;73,0424;1 21:38;1;выигрыш
28788;28793;0,20;73,2696;1 22:27;6;выигрыш
28903;28904;0,20;73,8936;1 23:05;2;выигрыш
28931;28934;0,20;74,1176;1 23:15;4;выигрыш
29007;29010;0,20;74,3416;1 23:40;4;выигрыш
29093;29100;0,20;74,5792;2 00:11;8;выигрыш
29431;29431;0,20;75,4032;2 02:06;1;выигрыш
29874;29879;0,20;75,6304;2 04:42;6;выигрыш
29967;29967;0,20;76,4544;2 05:12;1;выигрыш
29985;29987;0,20;76,8784;2 05:18;3;выигрыш
30157;30157;0,20;77,7024;2 06:22;1;выигрыш
