id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
55;61;0,60;50,6156;25 21:28;7;выигрыш
402;406;0,60;51,2232;25 23:27;5;выигрыш
710;719;0,60;51,8336;26 01:17;10;выигрыш
1554;1564;0,60;52,4576;26 06:01;11;выигрыш
1626;1627;0,60;54,3296;26 06:23;2;выигрыш
2280;2280;0,60;56,8016;26 10:07;1;выигрыш
2633;2633;0,60;59,2736;26 12:12;1;выигрыш
3223;3223;0,60;61,7456;26 15:45;1;выигрыш
3590;3600;0,60;62,3696;26 18:09;11;выигрыш
4388;4390;0,60;63,6416;26 23:19;3;выигрыш
4640;4641;0,60;65,5136;27 00:50;2;выигрыш
4686;4687;0,60;67,3856;27 01:05;2;выигрыш
4776;4786;0,60;54,1856;27 01:35;11;стоп
5583;5591;0,60;54,8156;27 06:09;9;выигрыш
5845;5848;0,60;55,4876;27 07:44;4;выигрыш
6144;6144;0,60;57,9596;27 09:35;1;выигрыш
6289;6289;0,60;60,4316;27 10:26;1;выигрыш
6344;6345;0,60;62,3036;27 10:42;2;выигрыш
6829;6829;0,60;64,7756;27 13:38;1;выигрыш
6929;6934;0,60;65,3948;27 14:14;6;выигрыш
7412;7414;0,60;66,6668;27 17:07;3;выигрыш
7464;7472;0,60;67,2968;27 17:25;9;выигрыш
7921;7922;0,60;69,1688;27 20:09;2;выигрыш
8410;8420;0,60;69,7928;27 23:08;11;выигрыш
9073;9082;0,60;70,4032;28 02:54;10;выигрыш
9452;9460;0,60;71,0332;28 05:01;9;выигрыш
9666;9670;0,60;71,6408;28 06:13;5;выигрыш
9798;9798;0,60;74,1128;28 06:56;1;выигрыш
10241;10249;0,60;74,7428;28 09:35;9;выигрыш
11121;11122;0,60;76,6148;28 14:32;2;выигрыш
11427;11434;0,60;77,2540;28 16:27;8;выигрыш
12126;12135;0,60;77,8644;28 20:37;10;выигрыш
12288;12291;0,60;78,5364;28 21:28;4;выигрыш
12503;12508;0,60;79,1556;28 22:38;6;выигрыш
12805;12814;0,60;79,7660;29 00:25;10;выигрыш
12861;12861;0,60;82,2380;29 00:39;1;выигрыш
12929;12929;0,60;84,7100;29 01:01;1;выигрыш
13056;13058;0,60;85,9820;29 01:41;3;выигрыш
13179;13182;0,60;86,6540;29 02:22;4;выигрыш
13514;13514;0,60;89,1260;29 04:16;1;выигрыш
14028;14031;0,60;89,7980;29 07:19;4;выигрыш
14481;14484;0,60;90,4700;29 09:54;4;выигрыш
14584;14585;0,60;92,3420;29 10:30;2;выигрыш
14862;14865;0,60;93,0140;29 12:05;4;выигрыш
15563;15566;0,60;93,6860;29 16:22;4;выигрыш
15677;15680;0,60;94,3580;29 17:04;4;выигрыш
15771;15771;0,60;96,8300;29 17:34;1;выигрыш
16487;16497;0,60;83,6300;29 21:55;11;стоп
16992;16999;0,60;84,2692;30 00:49;8;выигрыш
17137;17140;0,60;84,9412;30 01:36;4;выигрыш
17499;17505;0,60;85,5568;30 03:47;7;выигрыш
17746;17747;0,60;87,4288;30 05:12;2;выигрыш
17891;17892;0,60;89,3008;30 06:06;2;выигрыш
17971;17971;0,60;91,7728;30 06:34;1;выигрыш
18148;18158;0,60;92,3968;30 07:40;11;выигрыш
18279;18280;0,60;94,2688;30 08:20;2;выигрыш
18550;18551;0,60;96,1408;30 09:52;2;выигрыш
19105;19111;0,60;96,7564;30 13:17;7;выигрыш
19207;19213;0,60;97,3720;30 13:50;7;выигрыш
19572;19577;0,60;97,9912;30 16:07;6;выигрыш
19662;19663;0,60;99,8632;30 16:35;2;выигрыш
19684;19689;0,60;100,4824;30 16:44;6;выигрыш
19923;19924;0,60;102,3544;30 18:09;2;выигрыш
20233;20235;0,60;103,6264;30 20:08;3;выигрыш
20428;20432;0,60;104,2340;30 21:19;5;выигрыш
20599;20605;0,60;104,8496;30 22:18;7;выигрыш
21123;21123;0,60;107,3216;31 01:16;1;выигрыш
21334;21338;0,60;107,9292;31 02:30;5;выигрыш
21953;21959;0,60;108,5448;31 06:04;7;выигрыш
22374;22383;0,60;109,1552;31 08:39;10;выигрыш
22549;22549;0,60;111,6272;31 09:37;1;выигрыш
23154;23155;0,60;113,4992;31 13:13;2;выигрыш
23306;23313;0,60;114,1384;31 14:09;8;выигрыш
23899;23904;0,60;114,7576;31 17:36;6;выигрыш
24002;24007;0,60;115,3768;31 18:11;6;выигрыш
24035;24041;0,60;115,9924;31 18:21;7;выигрыш
24152;24162;0,60;102,7924;31 19:02;11;стоп
24370;24371;0,60;104,6644;31 20:22;2;выигрыш
24975;24976;0,60;106,5364;31 23:53;2;выигрыш
25620;25621;0,60;108,4084;1 03:36;2;выигрыш
25829;25833;0,60;109,0160;1 04:43;5;выигрыш
26283;26285;0,60;110,2880;1 07:21;3;выигрыш
26741;26745;0,60;110,8956;1 10:04;5;выигрыш
27750;27754;0,60;111,5032;1 16:10;5;выигрыш
28112;28114;0,60;112,7752;1 18:25;3;выигрыш
28321;28327;0,60;113,3908;1 19:40;7;выигрыш
28354;28356;0,60;114,6628;1 19:49;3;выигрыш
28793;28793;0,60;117,1348;1 22:27;1;выигрыш
29098;29100;0,60;118,4068;2 00:11;3;выигрыш
29879;29879;0,60;120,8788;2 04:42;1;выигрыш
30392;30393;0,60;122,7508;2 07:40;2;выигрыш
30716;30718;0,60;124,0228;2 09:36;3;выигрыш
30950;30954;0,60;124,6304;2 10:59;5;выигрыш
31578;31578;0,60;127,1024;2 14:36;1;выигрыш
31710;31715;0,60;127,7216;2 15:22;6;выигрыш
31747;31747;0,60;130,1936;2 15:32;1;выигрыш
31887;31891;0,60;130,8012;2 16:22;5;выигрыш
32673;32682;0,60;131,4116;2 21:24;10;выигрыш
33090;33091;0,60;133,2836;2 23:48;2;выигрыш
33127;33127;0,60;135,7556;3 00:00;1;выигрыш
33701;33703;0,60;137,0276;3 03:11;3;выигрыш
34153;34153;0,60;139,4996;3 05:48;1;выигрыш
34245;34249;0,60;140,1072;3 06:20;5;выигрыш
34382;34385;0,60;140,7792;3 07:13;4;выигрыш
34502;34503;0,60;142,6512;3 07:53;2;выигрыш
34717;34727;0,60;143,2752;3 09:07;11;выигрыш
35320;35330;0,60;130,0752;3 12:42;11;стоп
35594;35595;0,60;131,9472;3 14:15;2;выигрыш
35869;35870;0,60;133,8192;3 15:56;2;выигрыш
35976;35979;0,60;134,4912;3 16:34;4;выигрыш
37447;37449;0,60;135,7632;4 01:14;3;выигрыш
37531;37541;0,60;136,3872;4 01:43;11;выигрыш
37975;37979;0,60;136,9948;4 04:20;5;выигрыш
38029;38031;0,60;138,2668;4 04:36;3;выигрыш
38281;38282;0,60;140,1388;4 06:04;2;выигрыш
39151;39155;0,60;140,7464;4 11:17;5;выигрыш
39176;39176;0,60;143,2184;4 11:23;1;выигрыш
39284;39293;0,60;143,8288;4 12:04;10;выигрыш
39326;39333;0,60;144,4680;4 12:16;8;выигрыш
39628;39629;0,60;146,3400;4 14:10;2;выигрыш
39684;39686;0,60;147,6120;4 14:28;3;выигрыш
39908;39918;0,60;148,2360;4 15:52;11;выигрыш
40401;40406;0,60;148,8552;4 18:48;6;выигрыш
40433;40437;0,60;149,4628;4 18:59;5;выигрыш
40458;40458;0,60;151,9348;4 19:06;1;выигрыш
40584;40584;0,60;154,4068;4 19:50;1;выигрыш
40948;40949;0,60;156,2788;4 22:01;2;выигрыш
40988;40991;0,60;156,9508;4 22:15;4;выигрыш
41025;41029;0,60;157,5584;4 22:26;5;выигрыш
42085;42090;0,60;158,1776;5 04:36;6;выигрыш
42498;42508;0,60;144,9776;5 06:58;11;стоп
43062;43065;0,60;145,6496;5 10:06;4;выигрыш
43211;43215;0,60;146,2572;5 10:58;5;выигрыш
43282;43282;0,60;148,7292;5 11:19;1;выигрыш
43535;43543;0,60;149,3592;5 12:54;9;выигрыш
44018;44027;0,60;149,9696;5 15:46;10;выигрыш
44474;44477;0,60;150,6416;5 18:29;4;выигрыш
44917;44927;0,60;137,4416;5 21:11;11;стоп
45359;45360;0,60;139,3136;6 07:28;2;выигрыш
45417;45419;0,60;140,5856;6 07:47;3;выигрыш
45646;45647;0,60;142,4576;6 09:00;2;выигрыш
45791;45797;0,60;143,0732;6 09:51;7;выигрыш
45908;45908;0,60;145,5452;6 10:30;1;выигрыш
46331;46332;0,60;147,4172;6 12:56;2;выигрыш
46646;46653;0,60;148,0564;6 14:49;8;выигрыш
46679;46689;0,60;134,8564;6 15:00;11;стоп
47180;47188;0,60;135,4864;6 18:06;9;выигрыш
47244;47246;0,60;136,7584;6 18:26;3;выигрыш
48524;48524;0,60;139,2304;7 01:39;1;выигрыш
48856;48862;0,60;139,8460;7 03:39;7;выигрыш
49023;49024;0,60;141,7180;7 04:34;2;выигрыш
49315;49319;0,60;142,3256;7 06:13;5;выигрыш
49505;49505;0,60;144,7976;7 07:16;1;выигрыш
49805;49805;0,60;147,2696;7 08:57;1;выигрыш
50509;50511;0,60;148,5416;7 13:10;3;выигрыш
52431;52434;0,60;149,2136;8 00:29;4;выигрыш
52891;52895;0,60;149,8212;8 03:09;5;выигрыш
53043;53044;0,60;151,6932;8 03:58;2;выигрыш
54765;54766;0,60;153,5652;8 14:28;2;выигрыш
55013;55014;0,60;155,4372;8 16:00;2;выигрыш
55071;55071;0,60;157,9092;8 16:20;1;выигрыш
55141;55141;0,60;160,3812;8 16:49;1;выигрыш
55277;55277;0,60;162,8532;8 17:43;1;выигрыш
55593;55600;0,60;163,4924;8 19:39;8;выигрыш
55941;55944;0,60;164,1644;8 21:44;4;выигрыш
56016;56016;0,60;166,6364;8 22:07;1;выигрыш
56082;56090;0,60;167,2664;8 22:32;9;выигрыш
56506;56516;0,60;154,0664;9 00:57;11;стоп
57435;57438;0,60;154,7384;9 06:21;4;выигрыш
57670;57673;0,60;155,4104;9 07:37;4;выигрыш
58519;58526;0,60;156,0496;9 12:36;8;выигрыш
58711;58716;0,60;156,6688;9 13:49;6;выигрыш
58758;58760;0,60;157,9408;9 14:05;3;выигрыш
58787;58788;0,60;159,8128;9 14:14;2;выигрыш
59230;59235;0,60;160,4320;9 16:58;6;выигрыш
59518;59518;0,60;162,9040;9 18:41;1;выигрыш
59938;59938;0,60;165,3760;9 21:14;1;выигрыш
60004;60007;0,60;166,0480;9 21:36;4;выигрыш
60105;60109;0,60;166,6556;9 22:09;5;выигрыш
60370;60379;0,60;167,2660;9 23:40;10;выигрыш
60404;60404;0,60;169,7380;9 23:48;1;выигрыш
60459;60464;0,60;170,3572;10 00:08;6;выигрыш
60610;60613;0,60;171,0292;10 00:58;4;выигрыш
60948;60950;0,60;172,3012;10 02:58;3;выигрыш
61070;61072;0,60;173,5732;10 03:39;3;выигрыш
61121;61131;0,60;160,3732;10 03:56;11;стоп
61208;61214;0,60;160,9888;10 04:23;7;выигрыш
61512;61513;0,60;162,8608;10 06:03;2;выигрыш
61733;61733;0,60;165,3328;10 07:18;1;выигрыш
62199;62205;0,60;165,9484;10 10:07;7;выигрыш
62317;62317;0,60;168,4204;10 10:47;1;выигрыш
62823;62830;0,60;169,0596;10 13:46;8;выигрыш
63125;63125;0,60;171,5316;10 15:22;1;выигрыш
63352;63352;0,60;174,0036;10 16:55;1;выигрыш
63525;63525;0,60;176,4756;10 17:55;1;выигрыш
64094;64104;0,60;163,2756;10 21:17;11;стоп
64164;64164;0,60;165,7476;10 21:36;1;выигрыш
64260;64261;0,60;167,6196;10 22:12;2;выигрыш
64330;64339;0,60;168,2300;10 22:38;10;выигрыш
64495;64496;0,60;170,1020;10 23:28;2;выигрыш
65296;65299;0,60;170,7740;11 03:57;4;выигрыш
65375;65384;0,60;171,3844;11 04:27;10;выигрыш
66005;66010;0,60;172,0036;11 08:04;6;выигрыш
66507;66507;0,60;174,4756;11 11:04;1;выигрыш
66641;66648;0,60;175,1148;11 11:51;8;выигрыш
66803;66803;0,60;177,5868;11 12:46;1;выигрыш
66871;66873;0,60;178,8588;11 13:12;3;выигрыш
67112;67114;0,60;180,1308;11 14:37;3;выигрыш
67386;67389;0,60;180,8028;11 16:16;4;выигрыш
67479;67486;0,60;181,4420;11 16:53;8;выигрыш
67845;67847;0,60;182,7140;11 18:59;3;выигрыш
68137;68137;0,60;185,1860;11 20:39;1;выигрыш
68340;68340;0,60;187,6580;11 21:52;1;выигрыш
68544;68550;0,60;188,2736;11 23:03;7;выигрыш
68869;68872;0,60;188,9456;12 00:56;4;выигрыш
69573;69581;0,60;189,5756;12 05:03;9;выигрыш
70125;70131;0,60;190,1912;12 08:14;7;выигрыш
70289;70294;0,60;190,8104;12 09:08;6;выигрыш
71391;71391;0,60;193,2824;12 15:41;1;выигрыш
72159;72160;0,60;195,1544;12 20:23;2;выигрыш
72814;72817;0,60;195,8264;13 00:14;4;выигрыш
73144;73151;0,60;196,4656;13 02:05;8;выигрыш
73341;73348;0,60;197,1048;13 03:13;8;выигрыш
73585;73590;0,60;197,7240;13 04:39;6;выигрыш
74252;74255;0,60;198,3960;13 08:38;4;выигрыш
74312;74312;0,60;200,8680;13 08:59;1;выигрыш
74478;74481;0,60;201,5400;13 09:58;4;выигрыш
74652;74653;0,60;203,4120;13 11:01;2;выигрыш
75058;75068;0,60;190,2120;13 13:24;11;стоп
75509;75510;0,60;192,0840;13 16:06;2;выигрыш
76038;76039;0,60;193,9560;13 19:20;2;выигрыш
76233;76233;0,60;196,4280;13 20:25;1;выигрыш
76386;76387;0,60;198,3000;13 21:21;2;выигрыш
76934;76934;0,60;200,7720;14 00:21;1;выигрыш
76970;76970;0,60;203,2440;14 00:32;1;выигрыш
77151;77156;0,60;203,8632;14 01:36;6;выигрыш
77407;77410;0,60;204,5352;14 02:59;4;выигрыш
77473;77475;0,60;205,8072;14 03:19;3;выигрыш
77508;77512;0,60;206,4148;14 03:31;5;выигрыш
77768;77774;0,60;207,0304;14 05:04;7;выигрыш
77982;77985;0,60;207,7024;14 06:19;4;выигрыш
78151;78159;0,60;208,3324;14 07:18;9;выигрыш
78397;78398;0,60;210,2044;14 08:37;2;выигрыш
78537;78537;0,60;212,6764;14 09:25;1;выигрыш
78904;78911;0,60;213,3156;14 11:42;8;выигрыш
79226;79228;0,60;214,5876;14 13:31;3;выигрыш
79328;79328;0,60;217,0596;14 14:11;1;выигрыш
79467;79468;0,60;218,9316;14 15:05;2;выигрыш
80162;80162;0,60;221,4036;14 19:05;1;выигрыш
80414;80415;0,60;223,2756;14 20:45;2;выигрыш
80572;80573;0,60;225,1476;14 21:34;2;выигрыш
81805;81806;0,60;227,0196;15 04:49;2;выигрыш
82442;82445;0,60;227,6916;15 08:22;4;выигрыш
83080;83080;0,60;230,1636;15 12:11;1;выигрыш
83157;83166;0,60;230,7740;15 12:39;10;выигрыш
83329;83337;0,60;231,4040;15 13:35;9;выигрыш
